id,text_id,bunsetsu,text,value
321,627,令和元年８月９日以降，,令和元年８月９日,20190809
322,703,令和元年５月１５日頃，,令和元年５月１５日,20190515
323,703,同年６月１９日，,同年６月１９日,20190619
324,708,同日,同日,19
325,6,平成２９年１２月１５日付けで、,平成２９年１２月１５日,20171215
326,25,平成２７年６月１日、,平成２７年６月１日,20150601
327,29,平成２９年６月１４日、,平成２９年６月１４日,20170614
328,31,平成２７年６月２４日、,平成２７年６月２４日,20150624
329,40,平成２９年１２月１５日、,平成２９年１２月１５日,20171215
330,45,同月１６日頃、,同月１６日,1216
331,47,平成３０年３月１４日、,平成３０年３月１４日,20180314
332,49,令和３年３月１９日、,令和３年３月１９日,20210319
333,52,令和３年９月１７日、,令和３年９月１７日,20210917
334,70,平成３０年３月１４日、,平成３０年３月１４日,20180314
335,70,令和３年３月１９日、,令和３年３月１９日,20210319
336,70,令和３年９月１７日、,令和３年９月１７日,20210917
337,93,平成３１年２月１日から,平成３１年２月１日,20190201
338,102,平成２９年１２月１６日頃、,平成２９年１２月１６日,20171216
339,102,令和３年９月１７日、,令和３年９月１７日,20210917
340,121,平成３１年２月１日から,平成３１年２月１日,20190201
341,323,平成２１年２月６日、,平成２１年２月６日,20090206
342,323,④令和３年８月末日時点において、,令和３年８月,20210800
